region	chr	midPos	Nsites_fst	fst	BLOCKstart	BLOCKend	Numer	Denom	Nsites_Dstat	Dstat	gene.density	gene.count	recombination.rate	tP.lec	Nsites_lec	Tajima.lec	pi.lec	tP.pine	Nsites_pine	Tajima.pine	pi.pine	avg.dxy	Nsites_dxy
"(1049633,1052118)(11750314,11799959)(11750000,11800000)"	2	11775000	2487	0.82968	11750000	11800000	0.018293	0.069172	2483	0.264456717	0.80868	3	4.74	6.100503	6362	-1.3618	0.000958897	3.855892	8530	-2.439622	0.000452039	0.694865357	13
"(1155384,1159197)(13150034,13198844)(13150000,13200000)"	2	13175000	3815	0.829175	13150000	13200000	0.1648	0.266644	3889	0.618052534	0.92804	5	3.6	9.185422	7796	-1.817454	0.001178222	7.241648	10981	-2.274163	0.000659471	0.751575915	25
"(943295,946301)(18800348,18849868)(18800000,18850000)"	7	18825000	3008	0.82917	18800000	18850000	1.683882	3.282387	3124	0.513005322	0.63492	6	6.6	7.877325	6358	-1.770843	0.001238963	6.645193	8550	-1.482297	0.000777216	0.751185112	23
"(989681,996051)(15600414,15649585)(15600000,15650000)"	4	15625000	6372	0.828781	15600000	15650000	0.293952	0.727307	6710	0.404164954	0.3248	3	4.35	7.977548	12336	-2.134044	0.000646688	12.250046	15598	-1.945366	0.00078536	0.622825774	30
"(1828694,1831097)(26200850,26230439)(26200000,26250000)"	2	26225000	2405	0.82815	26200000	26250000	0.13879	0.198618	2625	0.69877856	1	2	5.29	2.960682	4027	-2.162669	0.000735208	8.589306	5547	-1.527814	0.00154846	0.578874918	86
"(2399616,2404050)(33900679,33949968)(33900000,33950000)"	3	33925000	4436	0.827394	33900000	33950000	-0.042982	0.238628	4521	-0.18012136	0.95754	11	3.67	3.953415	9249	-2.637983	0.000427442	4.623982	12689	-2.573468	0.000364409	0.682397452	15
"(2492713,2497257)(34101100,34149846)(34100000,34150000)"	2	34125000	4546	0.827151	34100000	34150000	-0.544365	0.595324	4629	-0.914401234	0.9249	12	4.31	6.370886	10142	-1.945449	0.000628169	6.179603	12384	-2.429383	0.000498999	0.795377095	18
"(350236,357593)(3150183,3198034)(3150000,3200000)"	5	3175000	7359	0.82703	3150000	3200000	0.005798	0.037096	7507	0.156297175	0.9014	8	5.9	9.466705	13372	-2.272198	0.00070795	9.613055	17007	-2.336082	0.000565241	0.782760405	30
"(741232,745751)(8250971,8299689)(8250000,8300000)"	5	8275000	4521	0.826951	8250000	8300000	0.107639	0.206956	4706	0.520105723	0.83686	8	8.57	10.53392	9295	-1.710411	0.001133289	6.411764	13773	-2.401793	0.000465531	0.659865126	32
"(2396004,2399986)(32100228,32149767)(32100000,32150000)"	5	32125000	3984	0.823565	32100000	32150000	0.028544	0.06392	4020	0.446558198	0.76866	6	4.78	5.590851	8401	-2.322331	0.000665498	8.916208	10852	-1.710095	0.000821619	0.752501791	18
"(468291,471895)(4300521,4349634)(4300000,4350000)"	5	4325000	3606	0.823186	4300000	4350000	0.023931	0.078996	3642	0.302939389	0.91818	9	6.31	10.640214	9017	-1.052297	0.001180017	5.850685	11503	-2.384378	0.000508623	0.707076308	15
"(1529049,1533660)(19751453,19799308)(19750000,19800000)"	6	19775000	4613	0.823184	19750000	19800000	0.142691	0.146389	4680	0.974738539	0.83034	13	9.27	9.042099	11229	-1.876365	0.000805245	5.126119	12068	-2.351698	0.00042477	0.717631738	16
"(1303290,1305000)(19101748,19149822)(19100000,19150000)"	1	19125000	1712	0.821529	19100000	19150000	0.403993	0.740531	1678	0.545545021	1	2	1.06	6.339779	4993	-1.858744	0.001269733	25.943163	6195	-0.364977	0.004187758	0.657907243	43
"(910594,912918)(18101258,18145471)(18100000,18150000)"	7	18125000	2326	0.821078	18100000	18150000	-0.163431	0.462789	2543	-0.353143657	0.99416	3	6.08	4.67578	5670	-2.26695	0.000824653	7.664827	8271	-1.435691	0.000926711	0.66272426	21
"(1062909,1065040)(16550346,16598260)(16550000,16600000)"	5	16575000	2133	0.820586	16550000	16600000	-0.017003	0.023433	2174	-0.725600649	0.30358	3	2.14	7.082055	5514	-1.07391	0.001284377	13.733066	8166	-0.240079	0.001681737	0.704332227	13
"(980206,982550)(19500112,19549116)(19500000,19550000)"	7	19525000	2346	0.820095	19500000	19550000	0.073278	0.074706	2409	0.980885069	0.79282	4	7.12	8.526155	6968	-1.276944	0.001223616	4.420945	7928	-2.031498	0.000557637	0.77642506	15
"(1065041,1068072)(16603165,16649152)(16600000,16650000)"	5	16625000	3033	0.8194	16600000	16650000	0.146673	0.179288	3066	0.818085985	0.56214	4	2.14	7.762084	7309	-1.674205	0.00106199	9.643211	10083	-1.35982	0.000956383	0.698184579	25
"(967524,970606)(11803840,11849918)(11800000,11850000)"	5	11825000	3084	0.818927	11800000	11850000	-0.290356	2.434044	3174	-0.119289544	NA	NA	4.4	16.362681	7234	-0.844952	0.002261913	6.647493	10589	-2.21956	0.000627773	0.749021872	32
"(1944052,1948131)(28201739,28249369)(28200000,28250000)"	4	28225000	4081	0.817452	28200000	28250000	0.179643	4.316096	4203	0.041621641	NA	NA	3.14	14.017047	9168	-1.403693	0.00152891	8.806376	15708	-1.861459	0.00056063	0.698119626	30
"(827548,830744)(16552719,16599367)(16550000,16600000)"	7	16575000	3198	0.817362	16550000	16600000	0.141732	0.485335	2914	0.292029217	NA	NA	4.75	7.196808	7161	-1.596381	0.001005	27.099994	9655	0.012612	0.002806835	0.617028996	48
"(305284,313776)(2750743,2799967)(2750000,2800000)"	5	2775000	8494	0.816899	2750000	2800000	0.379731	1.213086	8642	0.31302892	0.90884	9	5.63	13.470132	17084	-1.936289	0.000788465	12.293632	18302	-1.920151	0.00067171	0.756050331	41
"(1406359,1408864)(21150000,21198873)(21150000,21200000)"	4	21175000	2507	0.816009	21150000	21200000	-0.022384	0.430547	2591	-0.051989678	0.90556	7	5.73	9.394345	6269	-1.51976	0.00149854	9.70448	10128	-1.646571	0.000958183	0.618599271	20
"(999043,1002858)(9451436,9499619)(9450000,9500000)"	6	9475000	3817	0.815739	9450000	9500000	0.043432	0.09306	3882	0.46670965	0.78978	6	7.66	6.575575	10001	-2.283305	0.000657492	5.614913	12359	-2.469197	0.000454318	0.831356217	13
"(2482039,2488759)(34000018,34049677)(34000000,34050000)"	2	34025000	6722	0.815629	34000000	34050000	0.107629	0.110727	6811	0.972021278	0.9602	7	4.31	6.2987	11769	-2.19872	0.000535194	7.277023	15694	-2.44613	0.000463682	0.674247427	21
"(1132007,1136968)(12850049,12897344)(12850000,12900000)"	2	12875000	4963	0.814616	12850000	12900000	0.646549	0.711022	5038	0.909323481	0.91952	7	3.59	9.595613	10766	-1.997746	0.000891289	7.233534	13079	-2.122631	0.000553065	0.702911425	20
"(1783065,1787198)(26700214,26749345)(26700000,26750000)"	4	26725000	4135	0.814507	26700000	26750000	0.107393	0.13457	4190	0.798045627	0.94382	7	3.12	4.898295	8540	-2.327345	0.000573571	7.216518	13931	-2.221141	0.000518019	0.874054843	10
"(1540435,1547742)(17900112,17949404)(17900000,17950000)"	2	17925000	7309	0.814226	17900000	17950000	1.928453	5.11266	7671	0.377191716	1	1	3.56	32.295562	12430	-1.591312	0.002598195	12.465464	15423	-1.752403	0.000808239	0.671683383	102
"(679955,683338)(9300511,9349610)(9300000,9350000)"	7	9325000	3385	0.814136	9300000	9350000	-0.064796	0.074987	3442	-0.864096443	NA	NA	2.44	6.833117	7506	-2.10623	0.000910354	9.787997	13388	-1.95302	0.000731102	0.673529545	18
